;IdSensore;Tipologia;Unità DiMisura;IdStazione;NomeStazione;Quota;Provincia;DataStart;DataStop;Storico;UTM_Nord;UTM_Est;lng;lat;location;Valore;DATE_TIME
167;8136;Temperatura;°C;874;Sarnico v. Roma;197;BG;12/04/2001;;N;5057377;574538;9.956880147525977;45.6659359725519;(45.6659359725519, 9.956880147525977);28.7;2016-08-06 16:50:00
100;8140;Temperatura;°C;876;Caino;428;BS;01/02/2001;;N;5051536;603100;10.32222236530351;45.60971669991578;(45.609716699915786, 10.32222236530351);25.3;2016-08-06 16:50:00
32;8145;Temperatura;°C;889;Torre Boldone;311;BG;21/11/2001;;N;5062738;553830;9.691659372960117;45.7161031705101;(45.716103170510095, 9.691659372960116);25.5;2016-08-06 16:50:00
175;8151;Temperatura;°C;884;Cuveglio;294;VA;06/07/2000;;N;5083338;480047;8.742764505384635;45.90332054442589;(45.90332054442589, 8.742764505384635);27.9;2016-08-06 16:50:00
64;8157;Temperatura;°C;817;Pavia SS 35;71;PV;04/05/2000;;N;5003026;511523;9.146664116232369;45.18062204522296;(45.18062204522296, 9.14666411623237);28.1;2016-08-06 16:50:00
17;8162;Temperatura;°C;869;Milano v.Feltre;127;MI;05/07/2000;;N;5037597;519436;9.248738238564373;45.49163261583995;(45.49163261583995, 9.248738238564373);29.4;2016-08-06 16:50:00
5;8164;Temperatura;°C;859;Luino v. Piero Chiara;205;VA;05/07/2000;;N;5094539;480080;8.742723870723832;46.00413416405162;(46.004134164051614, 8.742723870723832);26.7;2016-08-06 16:50:00
122;8166;Temperatura;°C;870;Como Villa Geno;200;CO;05/07/2000;;N;5074080;506207;9.079902000578423;45.82025491696096;(45.82025491696097, 9.079902000578425);27.6;2016-08-06 16:50:00
48;8168;Temperatura;°C;885;Arcisate;383;VA;05/07/2000;;N;5076955;491501;8.890542676800244;45.84610717798399;(45.84610717798399, 8.890542676800244);27.4;2016-08-06 16:50:00
102;8178;Temperatura;°C;894;Lomello SS 211;95;PV;16/01/2000;;N;4996705;484221;8.799365774012205;45.123640327029975;(45.12364032702997, 8.799365774012205);27.5;2016-08-06 16:50:00
146;8180;Temperatura;°C;895;Soncino v. Brescia;87;CR;01/01/2000;;N;5027680;569678;9.89027062156689;45.39916876114939;(45.39916876114939, 9.89027062156689);28.4;2016-08-06 16:50:00
109;8187;Temperatura;°C;905;Cevo;1128;BS;18/06/2003;;N;5103920;606529;10.377774775825152;46.080550839800345;(46.080550839800345, 10.377774775825152);22.6;2016-08-06 16:50:00
95;8189;Temperatura;°C;901;Crema v.Camporelle;103;CR;04/03/2003;;N;5022780;552590;9.671433867152377;45.35655832576992;(45.35655832576992, 9.671433867152375);28.9;2016-08-06 16:50:00
183;8191;Temperatura;°C;908;Voghera v. Cambiaso;95;PV;04/03/2003;;N;4981870;501379;9.017493643978534;44.990272967787654;(44.99027296778766, 9.017493643978531);29.4;2016-08-06 16:50:00
158;8196;Temperatura;°C;886;Vigevano SS494;94;PV;18/02/2003;;N;5020886;490573;8.879674491227792;45.34141987196117;(45.341419871961165, 8.879674491227794);29.1;2016-08-06 16:50:00
142;8198;Temperatura;°C;911;Lambrugo;273;CO;06/03/2003;;N;5067627;519009;9.244445639464649;45.76194001111627;(45.76194001111627, 9.244445639464647);29.0;2016-08-06 16:50:00
80;8200;Temperatura;°C;865;Cantù Asnago;244;CO;29/04/2003;;N;5062780;507811;9.100367495780826;45.71853075332543;(45.718530753325425, 9.100367495780826);28.8;2016-08-06 16:50:00
49;8202;Temperatura;°C;858;Santa Margherita di Staffora Casanova;575;PV;01/01/2003;;N;4957210;518916;9.239041605384262;44.76803190890912;(44.76803190890912, 9.239041605384262);26.0;2016-08-06 16:50:00
66;8207;Temperatura;°C;906;Asola Sorbara;41;MN;12/03/2003;;N;5008025;611167;10.415828743701432;45.21693876693887;(45.21693876693887, 10.415828743701432);31.3;2016-08-06 16:50:00
118;8209;Temperatura;°C;910;Manerbio v.Dante;60;BS;09/04/2003;;N;5023554;589720;10.145549852122876;45.359754003465774;(45.35975400346577, 10.145549852122876);29.6;2016-08-06 16:50:00
53;8212;Temperatura;°C;903;Misinto;247;MB;12/03/2003;;N;5056428;505172;9.066390001669983;45.66138224429285;(45.661382244292845, 9.066390001669983);28.8;2016-08-06 16:50:00
111;8216;Temperatura;°C;899;Castiglione delle Stiviere;109;MN;11/03/2003;;N;5025628;618385;10.511930773425744;45.3741599377319;(45.37415993773191, 10.511930773425743);29.3;2016-08-06 16:50:00
136;8220;Temperatura;°C;897;Busto Arsizio v.Rossini;242;VA;26/03/2003;;N;5052553;486271;8.823878375134557;45.6263872574559;(45.6263872574559, 8.823878375134557);29.9;2016-08-06 16:50:00
70;8223;Temperatura;°C;816;Sermide SP 91;10;MN;10/07/2003;;N;4987208;680433;11.289925972511382;45.015363087231634;(45.015363087231634, 11.289925972511382);28.0;2016-08-06 16:50:00
58;8225;Temperatura;°C;873;Ponti sul Mincio Monzambano;62;MN;01/07/2003;;N;5027985;633560;10.70629184040345;45.39263734881329;(45.392637348813274, 10.70629184040345);28.5;2016-08-06 16:50:00
153;8227;Temperatura;°C;904;Paisco Loveno;816;BS;20/06/2003;;N;5103599;600282;10.2969342091421;46.078607760767355;(46.07860776076735, 10.296934209142101);21.7;2016-08-06 16:50:00
44;8229;Temperatura;°C;907;Varese v.Appiani;416;VA;27/08/2003;;N;5075452;486300;8.823602804255973;45.832495547015355;(45.83249554701535, 8.823602804255973);27.9;2016-08-06 16:50:00
35;8584;Temperatura;°C;999;Laveno-Mombello Poggio S.Elsa;950;VA;23/06/1999;;N;5084222;471939;8.638185708619893;45.91099372061516;(45.91099372061516, 8.638185708619893);21.8;2016-08-06 16:50:00
59;8588;Temperatura;°C;998;Laveno-Mombello p.zza Matteotti;207;VA;24/06/1999;;N;5084109;470426;8.61868470587428;45.90991325758061;(45.909913257580605, 8.61868470587428);28.7;2016-08-06 16:50:00
57;9001;Temperatura;°C;1210;Ranzanico;512;BG;01/01/2004;;N;5070812;572501;9.932744037069186;45.78706141691158;(45.78706141691157, 9.932744037069186);24.5;2016-08-06 16:50:00
23;9002;Temperatura;°C;1211;Castronno;379;VA;01/01/2004;;N;5066146;486058;8.82075558870268;45.74873081658488;(45.748730816584875, 8.82075558870268);27.2;2016-08-06 16:50:00
41;9003;Temperatura;°C;1212;Castione della Presolana;1180;BG;01/01/2004;;N;5086647;582441;10.063316766082297;45.928445516534396;(45.928445516534396, 10.063316766082295);22.1;2016-08-06 16:50:00
63;9008;Temperatura;°C;1216;Valbondione;1784;BG;01/12/2000;;N;5101745;580328;10.03860699641828;46.06456080985733;(46.064560809857326, 10.038606996418281);15.6;2016-08-06 16:50:00
177;9010;Temperatura;°C;1235;Cene Ponte;361;BG;04/10/2011;;N;5070400;563860;9.821533201834855;45.78420692092504;(45.784206920925044, 9.821533201834857);23.5;2016-08-06 16:50:00
110;9011;Temperatura;°C;1230;San Giacomo Filippo Lago Truzzo;2064;SO;09/01/2004;;N;5134156;524616;9.319988190479972;46.36053123729497;(46.36053123729497, 9.319988190479972);11.2;2016-08-06 16:50:00
154;9012;Temperatura;°C;1238;Val Masino S.Martino;943;SO;01/01/2004;;N;5121068;548737;9.632170040598263;46.241440917190495;(46.24144091719049, 9.632170040598265);18.4;2016-08-06 16:50:00
69;9013;Temperatura;°C;1220;Ponte di Legno Case Pirli;1640;BS;01/01/2004;;N;5128139;616030;10.506555903978098;46.29690081451489;(46.296900814514906, 10.506555903978098);18.0;2016-08-06 16:50:00
11;9014;Temperatura;°C;1237;Monno;1728;BS;11/10/2004;;N;5122691;600885;10.308798780947582;46.25030387115852;(46.25030387115852, 10.308798780947582);18.4;2016-08-06 16:50:00
46;9015;Temperatura;°C;1229;Gandellino Grabiasca;738;BG;01/01/2004;;N;5095336;573386;9.947876230335114;46.00766620841051;(46.00766620841051, 9.947876230335114);23.4;2016-08-06 16:50:00
27;9016;Temperatura;°C;1224;Cortenova;456;LC;01/01/2004;;N;5094947;529451;9.380396323644732;46.00746283105622;(46.00746283105623, 9.380396323644733);28.5;2016-08-06 16:50:00
165;9019;Temperatura;°C;1201;Canevino;455;PV;01/01/2004;;N;4975743;521751;9.275661821158812;44.93478645163143;(44.93478645163143, 9.275661821158812);27.6;2016-08-06 16:50:00
38;9020;Temperatura;°C;1222;Cavargna;1100;CO;09/04/2004;;N;5104225;508568;9.110834411077645;46.09154660527014;(46.09154660527014, 9.110834411077645);20.5;2016-08-06 16:50:00
182;9021;Temperatura;°C;1234;Osnago;234;LC;01/01/2004;;N;5058312;530261;9.388556066735074;45.67769842393421;(45.67769842393421, 9.388556066735074);28.7;2016-08-06 16:50:00
149;9024;Temperatura;°C;1221;Casnigo Campo Sportivo;501;BG;18/02/2004;;N;5075977;568047;9.876177757774835;45.833997692261356;(45.83399769226135, 9.876177757774837);26.9;2016-08-06 16:50:00
78;9025;Temperatura;°C;1228;Goito;30;MN;11/03/2004;;N;5013581;630514;10.663595357934602;45.2636105457828;(45.2636105457828, 10.663595357934602);29.3;2016-08-06 16:50:00
84;9026;Temperatura;°C;1233;Lurago Marinone;296;CO;01/01/2004;;N;5061867;497850;8.97237758994661;45.71035377227722;(45.71035377227722, 8.972377589946609);30.0;2016-08-06 16:50:00
0;9027;Temperatura;°C;1206;Cavaria con Premezzo v. Cantalupa;274;VA;01/01/2004;;N;5059567;485026;8.807691068181896;45.68949337565816;(45.68949337565816, 8.807691068181894);29.0;2016-08-06 16:50:00
140;9028;Temperatura;°C;1202;Vercana;980;CO;01/01/2004;;N;5114303;525058;9.324676976148886;46.18184257309385;(46.18184257309385, 9.324676976148888);20.7;2016-08-06 16:50:00
90;9030;Temperatura;°C;1218;Ardesio Valcanale;1002;BG;01/01/2004;;N;5088916;566917;9.8634321558842;45.95055277386598;(45.95055277386598, 9.8634321558842);21.0;2016-08-06 16:50:00
76;9031;Temperatura;°C;1219;Casalbuttano ed Uniti;56;CR;15/01/2005;;N;5011836;575599;9.96349170050652;45.25595602117305;(45.25595602117305, 9.96349170050652);29.4;2016-08-06 16:50:00
8;9034;Temperatura;°C;1209;Rota d'Imagna;674;BG;02/01/2004;;N;5076380;539709;9.511348909108976;45.839840095961094;(45.839840095961094, 9.511348909108976);24.4;2016-08-06 16:50:00
162;9310;Temperatura;°C;646;Como Villa Gallia;201;CO;01/01/1999;;N;5073500;505203;9.06697137484454;45.815042860112904;(45.81504286011291, 9.06697137484454);28.4;2016-08-06 16:50:00
71;9812;Temperatura;°C;670;Mantova S.Agnese;22;MN;30/12/2004;;N;5002356;641122;10.795564113707881;45.16056833010576;(45.16056833010576, 10.79556411370788);29.3;2016-08-06 16:50:00
106;9819;Temperatura;°C;671;Mantova Tridolino;22;MN;30/12/2004;;N;5001664;646147;10.859263911962307;45.15331958578557;(45.153319585785574, 10.859263911962309);28.4;2016-08-06 16:50:00
164;9938;Temperatura;°C;677;Cremona Via Fatebenefratelli;43;CR;10/04/2006;;N;4999315;582066;10.043836158369393;45.14254063221695;(45.14254063221695, 10.043836158369393);30.0;2016-08-06 16:50:00
173;10551;Temperatura;°C;554;Saronno v.Santuario;212;VA;06/07/2010;;N;5052520;503123;9.040063090678212;45.62621896083601;(45.626218960836006, 9.04006309067821);28.5;2016-08-06 16:50:00
45;10570;Temperatura;°C;1273;Val Masino Bagni;1191;SO;15/07/2011;;N;5121270;545980;9.596430583118105;46.2434509494086;(46.24345094940859, 9.596430583118106);16.9;2016-08-06 16:50:00
96;11007;Temperatura;°C;822;Valtorta;982;BG;10/11/2010;;N;5091256;541747;9.538885913106554;45.97360504520449;(45.9736050452045, 9.538885913106554);22.5;2016-08-06 16:50:00
42;11044;Temperatura;°C;1264;Sondrio v.Paribelli;290;SO;01/07/2010;;N;5113073;567873;9.879209924469905;46.16785244066512;(46.167852440665115, 9.879209924469903);27.5;2016-08-06 16:50:00
168;14014;Temperatura;°C;1077;Oltre il Colle Zambla;1138;BG;13/01/2012;;N;5082261;561209;9.78893967466926;45.89119304589664;(45.891193045896635, 9.78893967466926);20.2;2016-08-06 16:50:00
61;14058;Temperatura;°C;1324;Limone sul Garda;75;BS;13/03/2012;;N;5074143;639088;10.790041404031165;45.80682631535527;(45.80682631535527, 10.790041404031163);27.4;2016-08-06 16:50:00
87;14075;Temperatura;°C;1325;Collio Memmo;1069;BS;15/03/2012;;N;5073930;602209;10.315518370560412;45.81135931846123;(45.81135931846123, 10.315518370560413);18.7;2016-08-06 16:50:00
10;14092;Temperatura;°C;1326;Toscolano-Maderno;70;BS;22/03/2012;;N;5054923;626016;10.616881058085148;45.636411910077136;(45.63641191007713, 10.616881058085147);28.9;2016-08-06 16:50:00
29;14125;Temperatura;°C;1328;Teglio S. Giacomo;357;SO;20/04/2012;;N;5112157;580182;10.038477988191714;46.1582723086524;(46.1582723086524, 10.038477988191712);27.4;2016-08-06 16:50:00
33;14130;Temperatura;°C;1329;Lavena Ponte Tresa via della Boschiva;269;VA;18/04/2012;;N;5090913;488398;8.850242265176595;45.97169030131664;(45.971690301316634, 8.850242265176595);28.6;2016-08-06 16:50:00
31;14139;Temperatura;°C;1330;Olgiate Comasco v.Repubblica;400;CO;18/04/2012;;N;5068834;497872;8.972629613820207;45.773062080458466;(45.77306208045847, 8.972629613820208);28.9;2016-08-06 16:50:00
83;14194;Temperatura;°C;1342;Ponte in Valtellina Lago Reguzzo;2440;SO;13/10/2012;;N;5105228;574978;9.969993307685911;46.09651166584454;(46.09651166584453, 9.969993307685913);10.3;2016-08-06 16:50:00
