Valore;Valore;Valore;Valore;Valore;Valore;COUNT;;;;;;;;;
24,0255787;17,71042874;16,31157407;17,01886574;17,51274623;17,98171296;9;;;;;;;;;
17,71042874;16,31157407;17,01886574;17,51274623;17,98171296;18,83981481;2;;;;;;;;;
16,31157407;17,01886574;17,51274623;17,98171296;18,83981481;18,5443287;0;;;;;;;;;
17,01886574;17,51274623;17,98171296;18,83981481;18,5443287;19,49780093;2;;;;;;;;;
17,51274623;17,98171296;18,83981481;18,5443287;19,49780093;21,58472222;9;;;;;;;;;
17,98171296;18,83981481;18,5443287;19,49780093;21,58472222;22,65416667;2;;;;;;;;;
18,83981481;18,5443287;19,49780093;21,58472222;22,65416667;21,46435185;6;;;;;;;;;
18,5443287;19,49780093;21,58472222;22,65416667;21,46435185;18,88043981;5;;;;;;;;;
19,49780093;21,58472222;22,65416667;21,46435185;18,88043981;20,88422274;5;;;;;;;;;
21,58472222;22,65416667;21,46435185;18,88043981;20,88422274;20,17766204;5;;;;;;;;;
22,65416667;21,46435185;18,88043981;20,88422274;20,17766204;20,42037037;6;;;;;;;;;
21,46435185;18,88043981;20,88422274;20,17766204;20,42037037;22,07013889;1;;;;;;;;;
18,88043981;20,88422274;20,17766204;20,42037037;22,07013889;19,8495338;4;;;;;;;;;
20,88422274;20,17766204;20,42037037;22,07013889;19,8495338;19,12920046;6;;;;;;;;;
20,17766204;20,42037037;22,07013889;19,8495338;19,12920046;19,78308227;5;;;;;;;;;
20,42037037;22,07013889;19,8495338;19,12920046;19,78308227;20,45735805;5;;;;;;;;;
22,07013889;19,8495338;19,12920046;19,78308227;20,45735805;19,47265353;3;;;;;;;;;
19,8495338;19,12920046;19,78308227;20,45735805;19,47265353;18,87615741;1;;;;;;;;;
19,12920046;19,78308227;20,45735805;19,47265353;18,87615741;22,00810185;4;;;;;;;;;
19,78308227;20,45735805;19,47265353;18,87615741;22,00810185;24,37804878;3;;;;;;;;;
20,45735805;19,47265353;18,87615741;22,00810185;24,37804878;25,95816918;5;;;;;;;;;
19,47265353;18,87615741;22,00810185;24,37804878;25,95816918;27,68125;3;;;;;;;;;
18,87615741;22,00810185;24,37804878;25,95816918;27,68125;28,77149479;3;;;;;;;;;
22,00810185;24,37804878;25,95816918;27,68125;28,77149479;27,37222222;4;;;;;;;;;
24,37804878;25,95816918;27,68125;28,77149479;27,37222222;25,09872538;4;;;;;;;;;
25,95816918;27,68125;28,77149479;27,37222222;25,09872538;25,15677868;6;;;;;;;;;
27,68125;28,77149479;27,37222222;25,09872538;25,15677868;25,21575898;7;;;;;;;;;
28,77149479;27,37222222;25,09872538;25,15677868;25,21575898;26,36273148;4;;;;;;;;;
27,37222222;25,09872538;25,15677868;25,21575898;26,36273148;26,17592593;8;;;;;;;;;
25,09872538;25,15677868;25,21575898;26,36273148;26,17592593;26,51196283;2;;;;;;;;;
25,15677868;25,21575898;26,36273148;26,17592593;26,51196283;24,62465278;4;;;;;;;;;
25,21575898;26,36273148;26,17592593;26,51196283;24,62465278;25,37210648;6;;;;;;;;;
