COUNT;Valore;Valore;Valore;Valore;Valore;Valore;;;;;;;;
4;96,50263889;64,58581363;59,99180556;71,03847222;80,00375522;75,09388889;;;;;;;;
5;64,58581363;59,99180556;71,03847222;80,00375522;75,09388889;76,90861111;;;;;;;;
2;59,99180556;71,03847222;80,00375522;75,09388889;76,90861111;69,67125;;;;;;;;
4;71,03847222;80,00375522;75,09388889;76,90861111;69,67125;71,15847222;;;;;;;;
4;80,00375522;75,09388889;76,90861111;69,67125;71,15847222;67,85208333;;;;;;;;
2;75,09388889;76,90861111;69,67125;71,15847222;67,85208333;62,7;;;;;;;;
2;76,90861111;69,67125;71,15847222;67,85208333;62,7;64,63810848;;;;;;;;
3;69,67125;71,15847222;67,85208333;62,7;64,63810848;52,72777778;;;;;;;;
8;71,15847222;67,85208333;62,7;64,63810848;52,72777778;36,91347222;;;;;;;;
6;67,85208333;62,7;64,63810848;52,72777778;36,91347222;44,79986111;;;;;;;;
1;62,7;64,63810848;52,72777778;36,91347222;44,79986111;46,36222222;;;;;;;;
1;64,63810848;52,72777778;36,91347222;44,79986111;46,36222222;49,33916667;;;;;;;;
3;52,72777778;36,91347222;44,79986111;46,36222222;49,33916667;55,62680556;;;;;;;;
0;36,91347222;44,79986111;46,36222222;49,33916667;55,62680556;69,22277778;;;;;;;;
2;44,79986111;46,36222222;49,33916667;55,62680556;69,22277778;70,17638889;;;;;;;;
3;46,36222222;49,33916667;55,62680556;69,22277778;70,17638889;56,98108484;;;;;;;;
5;49,33916667;55,62680556;69,22277778;70,17638889;56,98108484;52,31418637;;;;;;;;
5;55,62680556;69,22277778;70,17638889;56,98108484;52,31418637;55,90696379;;;;;;;;
5;69,22277778;70,17638889;56,98108484;52,31418637;55,90696379;74,55027778;;;;;;;;
3;70,17638889;56,98108484;52,31418637;55,90696379;74,55027778;64,62791667;;;;;;;;
3;56,98108484;52,31418637;55,90696379;74,55027778;64,62791667;62,4675;;;;;;;;
0;52,31418637;55,90696379;74,55027778;64,62791667;62,4675;66,23295775;;;;;;;;
