COUNT;Valore;Valore;Valore;Valore;Valore;Valore;;;;;;;;
4;15,05383721;16,30914352;16,884375;16,08611111;17,16894554;18,46863426;;;;;;;;
2;16,30914352;16,884375;16,08611111;17,16894554;18,46863426;17,36828704;;;;;;;;
4;16,884375;16,08611111;17,16894554;18,46863426;17,36828704;16,74837963;;;;;;;;
4;16,08611111;17,16894554;18,46863426;17,36828704;16,74837963;16,54108796;;;;;;;;
6;17,16894554;18,46863426;17,36828704;16,74837963;16,54108796;16,63387471;;;;;;;;
3;18,46863426;17,36828704;16,74837963;16,54108796;16,63387471;14,14825581;;;;;;;;
8;17,36828704;16,74837963;16,54108796;16,63387471;14,14825581;14,71284722;;;;;;;;
6;16,74837963;16,54108796;16,63387471;14,14825581;14,71284722;12,90613426;;;;;;;;
7;16,54108796;16,63387471;14,14825581;14,71284722;12,90613426;11,39791667;;;;;;;;
5;16,63387471;14,14825581;14,71284722;12,90613426;11,39791667;11,30162037;;;;;;;;
5;14,14825581;14,71284722;12,90613426;11,39791667;11,30162037;11,73576389;;;;;;;;
2;14,71284722;12,90613426;11,39791667;11,30162037;11,73576389;12,28041958;;;;;;;;
2;12,90613426;11,39791667;11,30162037;11,73576389;12,28041958;12,65891204;;;;;;;;
3;11,39791667;11,30162037;11,73576389;12,28041958;12,65891204;11,60787037;;;;;;;;
7;11,30162037;11,73576389;12,28041958;12,65891204;11,60787037;11,25844907;;;;;;;;
1;11,73576389;12,28041958;12,65891204;11,60787037;11,25844907;12,33472222;;;;;;;;
4;12,28041958;12,65891204;11,60787037;11,25844907;12,33472222;12,5625;;;;;;;;
3;12,65891204;11,60787037;11,25844907;12,33472222;12,5625;13,28020833;;;;;;;;
6;11,60787037;11,25844907;12,33472222;12,5625;13,28020833;11,965625;;;;;;;;
2;11,25844907;12,33472222;12,5625;13,28020833;11,965625;10,94704519;;;;;;;;
2;12,33472222;12,5625;13,28020833;11,965625;10,94704519;11,94097222;;;;;;;;
1;12,5625;13,28020833;11,965625;10,94704519;11,94097222;12,73958333;;;;;;;;
6;13,28020833;11,965625;10,94704519;11,94097222;12,73958333;14,08541667;;;;;;;;
5;11,965625;10,94704519;11,94097222;12,73958333;14,08541667;13,33587963;;;;;;;;
5;10,94704519;11,94097222;12,73958333;14,08541667;13,33587963;12,25005794;;;;;;;;
4;11,94097222;12,73958333;14,08541667;13,33587963;12,25005794;11,31782407;;;;;;;;
