COUNT;DAY;MONTH;Valore;Valore;Valore;Valore;Valore;Valore;YEAR;;;;;;;;
3;24;5;16,33333333;19,33333333;14,33333333;21,66666667;27,33333333;20;2015;;;;;;;;
4;25;5;19,33333333;14,33333333;21,66666667;27,33333333;20;23,33333333;2015;;;;;;;;
5;26;5;14,33333333;21,66666667;27,33333333;20;23,33333333;28,66666667;2015;;;;;;;;
1;27;5;21,66666667;27,33333333;20;23,33333333;28,66666667;19;2015;;;;;;;;
4;28;5;27,33333333;20;23,33333333;28,66666667;19;27,66666667;2015;;;;;;;;
7;29;5;20;23,33333333;28,66666667;19;27,66666667;40,5;2015;;;;;;;;
2;30;5;23,33333333;28,66666667;19;27,66666667;40,5;43;2015;;;;;;;;
2;31;5;28,66666667;19;27,66666667;40,5;43;40;2015;;;;;;;;
2;1;6;19;27,66666667;40,5;43;40;18,5;2015;;;;;;;;
3;2;6;27,66666667;40,5;43;40;18,5;18;2015;;;;;;;;
4;3;6;40,5;43;40;18,5;18;20;2015;;;;;;;;
6;4;6;43;40;18,5;18;20;27;2015;;;;;;;;
5;5;6;40;18,5;18;20;27;37,66666667;2015;;;;;;;;
4;6;6;18,5;18;20;27;37,66666667;37;2015;;;;;;;;
2;7;6;18;20;27;37,66666667;37;37;2015;;;;;;;;
4;8;6;20;27;37,66666667;37;37;23,66666667;2015;;;;;;;;
2;9;6;27;37,66666667;37;37;23,66666667;24;2015;;;;;;;;
6;10;6;37,66666667;37;37;23,66666667;24;20;2015;;;;;;;;
3;11;6;37;37;23,66666667;24;20;17,5;2015;;;;;;;;
5;12;6;37;23,66666667;24;20;17,5;28;2015;;;;;;;;
3;13;6;23,66666667;24;20;17,5;28;35,33333333;2015;;;;;;;;
2;14;6;24;20;17,5;28;35,33333333;14,66666667;2015;;;;;;;;
4;15;6;20;17,5;28;35,33333333;14,66666667;14,33333333;2015;;;;;;;;
1;16;6;17,5;28;35,33333333;14,66666667;14,33333333;19,66666667;2015;;;;;;;;
6;17;6;28;35,33333333;14,66666667;14,33333333;19,66666667;21,66666667;2015;;;;;;;;
6;18;6;35,33333333;14,66666667;14,33333333;19,66666667;21,66666667;11;2015;;;;;;;;
4;19;6;14,66666667;14,33333333;19,66666667;21,66666667;11;17,33333333;2015;;;;;;;;
2;20;6;14,33333333;19,66666667;21,66666667;11;17,33333333;25;2015;;;;;;;;
2;21;6;19,66666667;21,66666667;11;17,33333333;25;27;2015;;;;;;;;
3;22;6;21,66666667;11;17,33333333;25;27;17,33333333;2015;;;;;;;;
2;23;6;11;17,33333333;25;27;17,33333333;21;2015;;;;;;;;
4;24;6;17,33333333;25;27;17,33333333;21;23,33333333;2015;;;;;;;;
1;25;6;25;27;17,33333333;21;23,33333333;32,33333333;2015;;;;;;;;
3;26;6;27;17,33333333;21;23,33333333;32,33333333;33;2015;;;;;;;;
2;27;6;17,33333333;21;23,33333333;32,33333333;33;34;2015;;;;;;;;
3;28;6;21;23,33333333;32,33333333;33;34;28,33333333;2015;;;;;;;;
4;29;6;23,33333333;32,33333333;33;34;28,33333333;35,66666667;2015;;;;;;;;
9;30;6;32,33333333;33;34;28,33333333;35,66666667;45;2015;;;;;;;;
5;1;7;33;34;28,33333333;35,66666667;45;42;2015;;;;;;;;
0;2;7;34;28,33333333;35,66666667;45;42;31;2015;;;;;;;;
2;3;7;28,33333333;35,66666667;45;42;31;22;2015;;;;;;;;
4;4;7;35,66666667;45;42;31;22;17,66666667;2015;;;;;;;;
2;5;7;45;42;31;22;17,66666667;24,33333333;2015;;;;;;;;
4;6;7;42;31;22;17,66666667;24,33333333;28,33333333;2015;;;;;;;;
6;7;7;31;22;17,66666667;24,33333333;28,33333333;33,66666667;2015;;;;;;;;
3;8;7;22;17,66666667;24,33333333;28,33333333;33,66666667;30,66666667;2015;;;;;;;;
4;9;7;17,66666667;24,33333333;28,33333333;33,66666667;30,66666667;36,33333333;2015;;;;;;;;
6;10;7;24,33333333;28,33333333;33,66666667;30,66666667;36,33333333;36;2015;;;;;;;;
2;11;7;28,33333333;33,66666667;30,66666667;36,33333333;36;28;2015;;;;;;;;
3;12;7;33,66666667;30,66666667;36,33333333;36;28;23,66666667;2015;;;;;;;;
1;13;7;30,66666667;36,33333333;36;28;23,66666667;22,33333333;2015;;;;;;;;
1;14;7;36,33333333;36;28;23,66666667;22,33333333;27;2015;;;;;;;;
5;15;7;36;28;23,66666667;22,33333333;27;29,66666667;2015;;;;;;;;
2;16;7;28;23,66666667;22,33333333;27;29,66666667;34,33333333;2015;;;;;;;;
4;17;7;23,66666667;22,33333333;27;29,66666667;34,33333333;20,5;2015;;;;;;;;
2;18;7;22,33333333;27;29,66666667;34,33333333;20,5;31;2015;;;;;;;;
3;19;7;27;29,66666667;34,33333333;20,5;31;21;2015;;;;;;;;
2;20;7;29,66666667;34,33333333;20,5;31;21;14;2015;;;;;;;;
4;21;7;34,33333333;20,5;31;21;14;25;2015;;;;;;;;
3;22;7;20,5;31;21;14;25;31;2015;;;;;;;;
2;23;7;31;21;14;25;31;25;2015;;;;;;;;
2;24;7;21;14;25;31;25;21,5;2015;;;;;;;;
0;25;7;14;25;31;25;21,5;12,5;2015;;;;;;;;
1;26;7;25;31;25;21,5;12,5;19;2015;;;;;;;;
4;27;7;31;25;21,5;12,5;19;18,33333333;2015;;;;;;;;
0;28;7;25;21,5;12,5;19;18,33333333;25,66666667;2015;;;;;;;;
4;29;7;21,5;12,5;19;18,33333333;25,66666667;28,66666667;2015;;;;;;;;
3;30;7;12,5;19;18,33333333;25,66666667;28,66666667;31,66666667;2015;;;;;;;;
4;31;7;19;18,33333333;25,66666667;28,66666667;31,66666667;32;2015;;;;;;;;
9;1;8;18,33333333;25,66666667;28,66666667;31,66666667;32;39,66666667;2015;;;;;;;;
1;2;8;25,66666667;28,66666667;31,66666667;32;39,66666667;35,66666667;2015;;;;;;;;
1;3;8;28,66666667;31,66666667;32;39,66666667;35,66666667;22,66666667;2015;;;;;;;;
3;4;8;31,66666667;32;39,66666667;35,66666667;22,66666667;19;2015;;;;;;;;
3;5;8;32;39,66666667;35,66666667;22,66666667;19;28;2015;;;;;;;;
2;6;8;39,66666667;35,66666667;22,66666667;19;28;35,66666667;2015;;;;;;;;
1;7;8;35,66666667;22,66666667;19;28;35,66666667;35,66666667;2015;;;;;;;;
2;8;8;22,66666667;19;28;35,66666667;35,66666667;34,66666667;2015;;;;;;;;
2;9;8;19;28;35,66666667;35,66666667;34,66666667;18;2015;;;;;;;;
1;10;8;28;35,66666667;35,66666667;34,66666667;18;10,66666667;2015;;;;;;;;
4;11;8;35,66666667;35,66666667;34,66666667;18;10,66666667;14,66666667;2015;;;;;;;;
2;12;8;35,66666667;34,66666667;18;10,66666667;14,66666667;14,66666667;2015;;;;;;;;
1;13;8;34,66666667;18;10,66666667;14,66666667;14,66666667;11,33333333;2015;;;;;;;;
0;14;8;18;10,66666667;14,66666667;14,66666667;11,33333333;13,66666667;2015;;;;;;;;
4;15;8;10,66666667;14,66666667;14,66666667;11,33333333;13,66666667;14,33333333;2015;;;;;;;;
0;16;8;14,66666667;14,66666667;11,33333333;13,66666667;14,33333333;19,33333333;2015;;;;;;;;
4;17;8;14,66666667;11,33333333;13,66666667;14,33333333;19,33333333;18;2015;;;;;;;;
1;18;8;11,33333333;13,66666667;14,33333333;19,33333333;18;29,66666667;2015;;;;;;;;
4;19;8;13,66666667;14,33333333;19,33333333;18;29,66666667;30;2015;;;;;;;;
4;20;8;14,33333333;19,33333333;18;29,66666667;30;22,66666667;2015;;;;;;;;
2;21;8;19,33333333;18;29,66666667;30;22,66666667;27,66666667;2015;;;;;;;;
3;22;8;18;29,66666667;30;22,66666667;27,66666667;30;2015;;;;;;;;
4;23;8;29,66666667;30;22,66666667;27,66666667;30;33;2015;;;;;;;;
1;24;8;30;22,66666667;27,66666667;30;33;28,33333333;2015;;;;;;;;
0;25;8;22,66666667;27,66666667;30;33;28,33333333;26,66666667;2015;;;;;;;;
1;26;8;27,66666667;30;33;28,33333333;26,66666667;30,33333333;2015;;;;;;;;
2;27;8;30;33;28,33333333;26,66666667;30,33333333;28,66666667;2015;;;;;;;;
