COUNT;DAY;MONTH;Valore;Valore;Valore;Valore;Valore;Valore;YEAR;;;;;;;
3;18;9;1,101041667;0,880208333;0,822916667;1,04375;0,934375;0,878125;2015;;;;;;;
3;19;9;0,880208333;0,822916667;1,04375;0,934375;0,878125;0,965625;2015;;;;;;;
4;20;9;0,822916667;1,04375;0,934375;0,878125;0,965625;1;2015;;;;;;;
5;21;9;1,04375;0,934375;0,878125;0,965625;1;0,808333333;2015;;;;;;;
4;22;9;0,934375;0,878125;0,965625;1;0,808333333;0,733333333;2015;;;;;;;
3;23;9;0,878125;0,965625;1;0,808333333;0,733333333;0,742708333;2015;;;;;;;
4;24;9;0,965625;1;0,808333333;0,733333333;0,742708333;0,841666667;2015;;;;;;;
8;25;9;1;0,808333333;0,733333333;0,742708333;0,841666667;0,835416667;2015;;;;;;;
2;26;9;0,808333333;0,733333333;0,742708333;0,841666667;0,835416667;0,798958333;2015;;;;;;;
3;27;9;0,733333333;0,742708333;0,841666667;0,835416667;0,798958333;0,948958333;2015;;;;;;;
5;28;9;0,742708333;0,841666667;0,835416667;0,798958333;0,948958333;0,927083333;2015;;;;;;;
1;29;9;0,841666667;0,835416667;0,798958333;0,948958333;0,927083333;0,946875;2015;;;;;;;
4;30;9;0,835416667;0,798958333;0,948958333;0,927083333;0,946875;1,036458333;2015;;;;;;;
3;1;10;0,798958333;0,948958333;0,927083333;0,946875;1,036458333;0,973958333;2015;;;;;;;
9;2;10;0,948958333;0,927083333;0,946875;1,036458333;0,973958333;1,038541667;2015;;;;;;;
4;3;10;0,927083333;0,946875;1,036458333;0,973958333;1,038541667;1,070833333;2015;;;;;;;
2;4;10;0,946875;1,036458333;0,973958333;1,038541667;1,070833333;1,061458333;2015;;;;;;;
4;5;10;1,036458333;0,973958333;1,038541667;1,070833333;1,061458333;0,865625;2015;;;;;;;
4;6;10;0,973958333;1,038541667;1,070833333;1,061458333;0,865625;1,069791667;2015;;;;;;;
6;7;10;1,038541667;1,070833333;1,061458333;0,865625;1,069791667;1,086458333;2015;;;;;;;
3;8;10;1,070833333;1,061458333;0,865625;1,069791667;1,086458333;1,010416667;2015;;;;;;;
8;9;10;1,061458333;0,865625;1,069791667;1,086458333;1,010416667;1,029166667;2015;;;;;;;
6;10;10;0,865625;1,069791667;1,086458333;1,010416667;1,029166667;1,016666667;2015;;;;;;;
7;11;10;1,069791667;1,086458333;1,010416667;1,029166667;1,016666667;0,980208333;2015;;;;;;;
5;12;10;1,086458333;1,010416667;1,029166667;1,016666667;0,980208333;1,105208333;2015;;;;;;;
5;13;10;1,010416667;1,029166667;1,016666667;0,980208333;1,105208333;1,1625;2015;;;;;;;
2;14;10;1,029166667;1,016666667;0,980208333;1,105208333;1,1625;1,45625;2015;;;;;;;
2;15;10;1,016666667;0,980208333;1,105208333;1,1625;1,45625;1,523958333;2015;;;;;;;
3;16;10;0,980208333;1,105208333;1,1625;1,45625;1,523958333;1,530208333;2015;;;;;;;
7;17;10;1,105208333;1,1625;1,45625;1,523958333;1,530208333;1,570833333;2015;;;;;;;
1;18;10;1,1625;1,45625;1,523958333;1,530208333;1,570833333;1,879166667;2015;;;;;;;
4;19;10;1,45625;1,523958333;1,530208333;1,570833333;1,879166667;1,797916667;2015;;;;;;;
3;20;10;1,523958333;1,530208333;1,570833333;1,879166667;1,797916667;1,703125;2015;;;;;;;
6;21;10;1,530208333;1,570833333;1,879166667;1,797916667;1,703125;1,980208333;2015;;;;;;;
2;22;10;1,570833333;1,879166667;1,797916667;1,703125;1,980208333;1,839583333;2015;;;;;;;
2;23;10;1,879166667;1,797916667;1,703125;1,980208333;1,839583333;1,084375;2015;;;;;;;
1;24;10;1,797916667;1,703125;1,980208333;1,839583333;1,084375;0,96875;2015;;;;;;;
6;25;10;1,703125;1,980208333;1,839583333;1,084375;0,96875;1,578125;2015;;;;;;;
5;26;10;1,980208333;1,839583333;1,084375;0,96875;1,578125;1,389583333;2015;;;;;;;
5;27;10;1,839583333;1,084375;0,96875;1,578125;1,389583333;1,263541667;2015;;;;;;;
4;28;10;1,084375;0,96875;1,578125;1,389583333;1,263541667;1,344791667;2015;;;;;;;
2;29;10;0,96875;1,578125;1,389583333;1,263541667;1,344791667;1,510416667;2015;;;;;;;
7;30;10;1,578125;1,389583333;1,263541667;1,344791667;1,510416667;1,303125;2015;;;;;;;
6;31;10;1,389583333;1,263541667;1,344791667;1,510416667;1,303125;1,8875;2015;;;;;;;
4;1;11;1,263541667;1,344791667;1,510416667;1,303125;1,8875;1,9375;2015;;;;;;;
3;2;11;1,344791667;1,510416667;1,303125;1,8875;1,9375;2,03125;2015;;;;;;;
4;3;11;1,510416667;1,303125;1,8875;1,9375;2,03125;2,015625;2015;;;;;;;
3;4;11;1,303125;1,8875;1,9375;2,03125;2,015625;1,438541667;2015;;;;;;;
7;5;11;1,8875;1,9375;2,03125;2,015625;1,438541667;1,670833333;2015;;;;;;;
2;6;11;1,9375;2,03125;2,015625;1,438541667;1,670833333;1,975;2015;;;;;;;
3;7;11;2,03125;2,015625;1,438541667;1,670833333;1,975;1,692307692;2015;;;;;;;
5;8;11;2,015625;1,438541667;1,670833333;1,975;1,692307692;2,113513514;2015;;;;;;;
5;9;11;1,438541667;1,670833333;1,975;1,692307692;2,113513514;1,2375;2015;;;;;;;
7;10;11;1,670833333;1,975;1,692307692;2,113513514;1,2375;1,205555556;2015;;;;;;;
1;11;11;1,975;1,692307692;2,113513514;1,2375;1,205555556;1,24125;2015;;;;;;;
2;12;11;1,692307692;2,113513514;1,2375;1,205555556;1,24125;1,084375;2015;;;;;;;
