DAY;MONTH;YEAR;Valore;Valore;Valore;Valore;Valore;Valore;COUNT;;;;;;;
2;8;2017;0,916666667;0,831944444;0,779411765;0,7625;0,795833333;0,7;3;;;;;;;
3;8;2017;0,831944444;0,779411765;0,7625;0,795833333;0,7;0,697222222;4;;;;;;;
4;8;2017;0,779411765;0,7625;0,795833333;0,7;0,697222222;0,698611111;2;;;;;;;
5;8;2017;0,7625;0,795833333;0,7;0,697222222;0,698611111;0,743055556;3;;;;;;;
6;8;2017;0,795833333;0,7;0,697222222;0,698611111;0,743055556;0,6375;1;;;;;;;
7;8;2017;0,7;0,697222222;0,698611111;0,743055556;0,6375;0,591549296;1;;;;;;;
8;8;2017;0,697222222;0,698611111;0,743055556;0,6375;0,591549296;0,640277778;4;;;;;;;
9;8;2017;0,698611111;0,743055556;0,6375;0,591549296;0,640277778;0,6625;4;;;;;;;
10;8;2017;0,743055556;0,6375;0,591549296;0,640277778;0,6625;0,65;1;;;;;;;
11;8;2017;0,6375;0,591549296;0,640277778;0,6625;0,65;0,729166667;2;;;;;;;
12;8;2017;0,591549296;0,640277778;0,6625;0,65;0,729166667;0,731944444;2;;;;;;;
13;8;2017;0,640277778;0,6625;0,65;0,729166667;0,731944444;0,733333333;1;;;;;;;
14;8;2017;0,6625;0,65;0,729166667;0,731944444;0,733333333;0,673611111;1;;;;;;;
15;8;2017;0,65;0,729166667;0,731944444;0,733333333;0,673611111;0,625;4;;;;;;;
16;8;2017;0,729166667;0,731944444;0,733333333;0,673611111;0,625;0,670833333;2;;;;;;;
17;8;2017;0,731944444;0,733333333;0,673611111;0,625;0,670833333;0,668055556;0;;;;;;;
18;8;2017;0,733333333;0,673611111;0,625;0,670833333;0,668055556;0,709722222;1;;;;;;;
19;8;2017;0,673611111;0,625;0,670833333;0,668055556;0,709722222;0,711111111;1;;;;;;;
20;8;2017;0,625;0,670833333;0,668055556;0,709722222;0,711111111;0,719444444;2;;;;;;;
21;8;2017;0,670833333;0,668055556;0,709722222;0,711111111;0,719444444;0,797222222;5;;;;;;;
22;8;2017;0,668055556;0,709722222;0,711111111;0,719444444;0,797222222;0,765277778;1;;;;;;;
23;8;2017;0,709722222;0,711111111;0,719444444;0,797222222;0,765277778;0,845833333;5;;;;;;;
24;8;2017;0,711111111;0,719444444;0,797222222;0,765277778;0,845833333;0,681944444;4;;;;;;;
25;8;2017;0,719444444;0,797222222;0,765277778;0,845833333;0,681944444;0,679166667;3;;;;;;;
26;8;2017;0,797222222;0,765277778;0,845833333;0,681944444;0,679166667;0,675;4;;;;;;;
27;8;2017;0,765277778;0,845833333;0,681944444;0,679166667;0,675;0,615277778;2;;;;;;;
28;8;2017;0,845833333;0,681944444;0,679166667;0,675;0,615277778;0,572222222;2;;;;;;;
29;8;2017;0,681944444;0,679166667;0,675;0,615277778;0,572222222;0,608333333;4;;;;;;;
30;8;2017;0,679166667;0,675;0,615277778;0,572222222;0,608333333;0,655555556;0;;;;;;;
31;8;2017;0,675;0,615277778;0,572222222;0,608333333;0,655555556;0,633333333;5;;;;;;;
1;9;2017;0,615277778;0,572222222;0,608333333;0,655555556;0,633333333;0,5875;3;;;;;;;
2;9;2017;0,572222222;0,608333333;0,655555556;0,633333333;0,5875;0,551388889;4;;;;;;;
3;9;2017;0,608333333;0,655555556;0,633333333;0,5875;0,551388889;0,604166667;3;;;;;;;
4;9;2017;0,655555556;0,633333333;0,5875;0,551388889;0,604166667;0,5375;2;;;;;;;
5;9;2017;0,633333333;0,5875;0,551388889;0,604166667;0,5375;0,530555556;7;;;;;;;
6;9;2017;0,5875;0,551388889;0,604166667;0,5375;0,530555556;0,675;2;;;;;;;
7;9;2017;0,551388889;0,604166667;0,5375;0,530555556;0,675;0,698611111;3;;;;;;;
8;9;2017;0,604166667;0,5375;0,530555556;0,675;0,698611111;0,590277778;2;;;;;;;
9;9;2017;0,5375;0,530555556;0,675;0,698611111;0,590277778;0,797222222;5;;;;;;;
10;9;2017;0,530555556;0,675;0,698611111;0,590277778;0,797222222;0,747222222;4;;;;;;;
11;9;2017;0,675;0,698611111;0,590277778;0,797222222;0,747222222;0,555555556;4;;;;;;;
12;9;2017;0,698611111;0,590277778;0,797222222;0,747222222;0,555555556;0,5625;7;;;;;;;
13;9;2017;0,590277778;0,797222222;0,747222222;0,555555556;0,5625;0,738888889;0;;;;;;;
14;9;2017;0,797222222;0,747222222;0,555555556;0,5625;0,738888889;0,702777778;5;;;;;;;
15;9;2017;0,747222222;0,555555556;0,5625;0,738888889;0,702777778;0,701388889;7;;;;;;;
16;9;2017;0,555555556;0,5625;0,738888889;0,702777778;0,701388889;0,791666667;3;;;;;;;
17;9;2017;0,5625;0,738888889;0,702777778;0,701388889;0,791666667;0,673611111;8;;;;;;;
18;9;2017;0,738888889;0,702777778;0,701388889;0,791666667;0,673611111;0,640277778;4;;;;;;;
19;9;2017;0,702777778;0,701388889;0,791666667;0,673611111;0,640277778;0,604166667;11;;;;;;;
20;9;2017;0,701388889;0,791666667;0,673611111;0,640277778;0,604166667;0,698611111;7;;;;;;;
21;9;2017;0,791666667;0,673611111;0,640277778;0,604166667;0,698611111;0,756338028;5;;;;;;;
22;9;2017;0,673611111;0,640277778;0,604166667;0,698611111;0,756338028;0,818055556;4;;;;;;;
23;9;2017;0,640277778;0,604166667;0,698611111;0,756338028;0,818055556;0,95;4;;;;;;;
24;9;2017;0,604166667;0,698611111;0,756338028;0,818055556;0,95;0,875;2;;;;;;;
