Valore;Valore;Valore;Valore;Valore;Valore;COUNT;;;;;;;;
72,50805556;79,14861111;53,46513889;52,0015299;48,20805556;38,83333333;2;;;;;;;;
79,14861111;53,46513889;52,0015299;48,20805556;38,83333333;46,67777778;3;;;;;;;;
53,46513889;52,0015299;48,20805556;38,83333333;46,67777778;43,41361111;2;;;;;;;;
52,0015299;48,20805556;38,83333333;46,67777778;43,41361111;35,13263889;4;;;;;;;;
48,20805556;38,83333333;46,67777778;43,41361111;35,13263889;35,41375;4;;;;;;;;
38,83333333;46,67777778;43,41361111;35,13263889;35,41375;34,8825;6;;;;;;;;
46,67777778;43,41361111;35,13263889;35,41375;34,8825;46,41291667;8;;;;;;;;
43,41361111;35,13263889;35,41375;34,8825;46,41291667;57,29819444;2;;;;;;;;
35,13263889;35,41375;34,8825;46,41291667;57,29819444;63,33838665;2;;;;;;;;
35,41375;34,8825;46,41291667;57,29819444;63,33838665;56,93;6;;;;;;;;
34,8825;46,41291667;57,29819444;63,33838665;56,93;52,24047288;3;;;;;;;;
46,41291667;57,29819444;63,33838665;56,93;52,24047288;63,84333333;5;;;;;;;;
57,29819444;63,33838665;56,93;52,24047288;63,84333333;45,70458333;3;;;;;;;;
63,33838665;56,93;52,24047288;63,84333333;45,70458333;40,87263889;4;;;;;;;;
56,93;52,24047288;63,84333333;45,70458333;40,87263889;34,28361111;5;;;;;;;;
52,24047288;63,84333333;45,70458333;40,87263889;34,28361111;38,80347222;2;;;;;;;;
63,84333333;45,70458333;40,87263889;34,28361111;38,80347222;39,33736111;4;;;;;;;;
45,70458333;40,87263889;34,28361111;38,80347222;39,33736111;42,62958333;5;;;;;;;;
40,87263889;34,28361111;38,80347222;39,33736111;42,62958333;54,92694444;4;;;;;;;;
34,28361111;38,80347222;39,33736111;42,62958333;54,92694444;51,985;3;;;;;;;;
38,80347222;39,33736111;42,62958333;54,92694444;51,985;51,29222222;5;;;;;;;;
39,33736111;42,62958333;54,92694444;51,985;51,29222222;59,81430556;6;;;;;;;;
42,62958333;54,92694444;51,985;51,29222222;59,81430556;27,30584046;3;;;;;;;;
54,92694444;51,985;51,29222222;59,81430556;27,30584046;33,6997151;4;;;;;;;;
51,985;51,29222222;59,81430556;27,30584046;33,6997151;32,63791667;6;;;;;;;;
51,29222222;59,81430556;27,30584046;33,6997151;32,63791667;50,29833333;2;;;;;;;;
59,81430556;27,30584046;33,6997151;32,63791667;50,29833333;56,40916667;2;;;;;;;;
27,30584046;33,6997151;32,63791667;50,29833333;56,40916667;65,85055556;4;;;;;;;;
33,6997151;32,63791667;50,29833333;56,40916667;65,85055556;54,34305556;3;;;;;;;;
32,63791667;50,29833333;56,40916667;65,85055556;54,34305556;51,875;6;;;;;;;;
50,29833333;56,40916667;65,85055556;54,34305556;51,875;48,36402778;4;;;;;;;;
56,40916667;65,85055556;54,34305556;51,875;48,36402778;41,36208333;5;;;;;;;;
65,85055556;54,34305556;51,875;48,36402778;41,36208333;38,26388889;7;;;;;;;;
54,34305556;51,875;48,36402778;41,36208333;38,26388889;38,98736111;2;;;;;;;;
51,875;48,36402778;41,36208333;38,26388889;38,98736111;51,45680556;3;;;;;;;;
48,36402778;41,36208333;38,26388889;38,98736111;51,45680556;46,38305556;3;;;;;;;;
41,36208333;38,26388889;38,98736111;51,45680556;46,38305556;50,08916667;4;;;;;;;;
38,26388889;38,98736111;51,45680556;46,38305556;50,08916667;57,45083333;2;;;;;;;;
38,98736111;51,45680556;46,38305556;50,08916667;57,45083333;58,35263889;3;;;;;;;;
51,45680556;46,38305556;50,08916667;57,45083333;58,35263889;58,29597222;1;;;;;;;;
46,38305556;50,08916667;57,45083333;58,35263889;58,29597222;43,56444444;1;;;;;;;;
50,08916667;57,45083333;58,35263889;58,29597222;43,56444444;39,75888889;4;;;;;;;;
57,45083333;58,35263889;58,29597222;43,56444444;39,75888889;43,20194444;4;;;;;;;;
