;IdSensore;NomeTipoSensore_x;UnitaMisura_x;Idstazione_x;NomeStazione_x;Quota_x;Provincia_x;Comune_x;Storico_x;DataStart_x;DataStop_x;Utm_Nord_x;UTM_Est_x;lat_x;lng_x;location_x;Valore;DATE_TIME;NomeTipoSensore_y;UnitaMisura_y;Idstazione_y;NomeStazione_y;Quota_y;Provincia_y;Comune_y;Storico_y;DataStart_y;DataStop_y;Utm_Nord_y;UTM_Est_y;lat_y;lng_y;location_y
41;6925;PM10 (SM2005);µg/m³;571;Bormio;1225.0;SO;Bormio;N;18/04/2003;;5147136;605598;46.469523971325856;10.375432759159036;(46.46952397132585, 10.375432759159036);40.0;2016-11-14;PM10 (SM2005);µg/m³;571.0;Bormio;1225.0;SO;Bormio;N;18/04/2003;;5147136.0;605598.0;46.469523971325856;10.375432759159036;(46.46952397132585, 10.375432759159036)
36;6926;PM10 (SM2005);µg/m³;572;Morbegno - via Cortivacci;262.0;SO;Morbegno;N;14/12/1999;;5108901;543736;46.132282960003735;9.566179893984476;(46.132282960003735, 9.566179893984474);39.0;2016-11-14;PM10 (SM2005);µg/m³;572.0;Morbegno - via Cortivacci;262.0;SO;Morbegno;N;14/12/1999;;5108901.0;543736.0;46.132282960003735;9.566179893984476;(46.132282960003735, 9.566179893984474)
70;6927;PM10 (SM2005);µg/m³;574;Lecco - Via Amendola;214.0;LC;Lecco;N;12/05/2000;;5077479;530713;45.85019119457854;9.395577066893225;(45.850191194578535, 9.395577066893223);44.0;2016-11-14;PM10 (SM2005);µg/m³;574.0;Lecco - Via Amendola;214.0;LC;Lecco;N;12/05/2000;;5077479.0;530713.0;45.85019119457854;9.395577066893225;(45.850191194578535, 9.395577066893223)
57;6929;PM10 (SM2005);µg/m³;576;Merate;279.0;LC;Merate;N;01/01/2000;;5060569;531623;45.697951989702425;9.406190938686596;(45.69795198970243, 9.406190938686596);44.0;2016-11-14;PM10 (SM2005);µg/m³;576.0;Merate;279.0;LC;Merate;N;01/01/2000;;5060569.0;531623.0;45.697951989702425;9.406190938686596;(45.69795198970243, 9.406190938686596)
59;6931;PM10 (SM2005);µg/m³;583;Bergamo - via Meucci;249.0;BG;Bergamo;N;03/07/2000;;5059922;550116;45.691037405472144;9.643650579461383;(45.69103740547214, 9.643650579461385);41.0;2016-11-14;PM10 (SM2005);µg/m³;583.0;Bergamo - via Meucci;249.0;BG;Bergamo;N;03/07/2000;;5059922.0;550116.0;45.691037405472144;9.643650579461383;(45.69103740547214, 9.643650579461385)
77;6935;PM10 (SM2005);µg/m³;592;Treviglio;191.0;BG;Treviglio;N;03/02/2000;;5040815;546236;45.51933498138716;9.592009994888423;(45.51933498138716, 9.592009994888425);43.0;2016-11-14;PM10 (SM2005);µg/m³;592.0;Treviglio;191.0;BG;Treviglio;N;03/02/2000;;5040815.0;546236.0;45.51933498138716;9.592009994888423;(45.51933498138716, 9.592009994888425)
85;6936;PM10 (SM2005);µg/m³;596;Osio Sotto;182.0;BG;Osio Sotto;N;24/05/2000;;5052072;547691;45.620555679395586;9.611737821812373;(45.62055567939559, 9.611737821812373);35.0;2016-11-14;PM10 (SM2005);µg/m³;596.0;Osio Sotto;182.0;BG;Osio Sotto;N;24/05/2000;;5052072.0;547691.0;45.620555679395586;9.611737821812373;(45.62055567939559, 9.611737821812373)
86;6937;PM10 (SM2005);µg/m³;597;Lallio;212.0;BG;Lallio;S;24/05/2000;01/01/2017;5056421;548190;45.65966391792854;9.618568761257565;(45.65966391792855, 9.618568761257565);37.0;2016-11-14;PM10 (SM2005);µg/m³;597.0;Lallio;212.0;BG;Lallio;S;24/05/2000;01/01/2017;5056421.0;548190.0;45.65966391792854;9.618568761257565;(45.65966391792855, 9.618568761257565)
13;6939;PM10 (SM2005);µg/m³;600;Lodi - viale Vignati;80.0;LO;Lodi;N;05/12/2000;;5017060;538042;45.30601298752377;9.48526286320174;(45.30601298752377, 9.48526286320174);39.0;2016-11-14;PM10 (SM2005);µg/m³;600.0;Lodi - viale Vignati;80.0;LO;Lodi;N;05/12/2000;;5017060.0;538042.0;45.30601298752377;9.48526286320174;(45.30601298752377, 9.48526286320174)
4;6940;PM10 (SM2005);µg/m³;601;Montanaso;84.0;LO;Montanaso Lombardo;S;30/07/2004;01/01/2017;5020391;535459;45.33613100905199;9.45255388178171;(45.33613100905199, 9.45255388178171);36.0;2016-11-14;PM10 (SM2005);µg/m³;601.0;Montanaso;84.0;LO;Montanaso Lombardo;S;30/07/2004;01/01/2017;5020391.0;535459.0;45.33613100905199;9.45255388178171;(45.33613100905199, 9.45255388178171)
49;6947;PM10 (SM2005);µg/m³;643;Pavia - p.zza Minerva;77.0;PV;Pavia;N;06/06/2002;;5003660;511522;45.18632908049482;9.146666041286784;(45.18632908049483, 9.146666041286784);34.0;2016-11-14;PM10 (SM2005);µg/m³;643.0;Pavia - p.zza Minerva;77.0;PV;Pavia;N;06/06/2002;;5003660.0;511522.0;45.18632908049482;9.146666041286784;(45.18632908049483, 9.146666041286784)
9;6952;PM10 (SM2005);µg/m³;654;Sarezzo - via Minelli;269.0;BS;Sarezzo;N;23/06/2000;;5055826;593900;45.64962671224069;10.205090218837002;(45.64962671224069, 10.205090218837002);36.0;2016-11-14;PM10 (SM2005);µg/m³;654.0;Sarezzo - via Minelli;269.0;BS;Sarezzo;N;23/06/2000;;5055826.0;593900.0;45.64962671224069;10.205090218837002;(45.64962671224069, 10.205090218837002)
78;6953;PM10 (SM2005);µg/m³;659;Odolo;349.0;BS;Odolo;N;23/06/2000;;5055661;608260;45.646049633725255;10.389295302791961;(45.64604963372525, 10.38929530279196);44.0;2016-11-14;PM10 (SM2005);µg/m³;659.0;Odolo;349.0;BS;Odolo;N;23/06/2000;;5055661.0;608260.0;45.64604963372526;10.389295302791961;(45.64604963372525, 10.38929530279196)
20;6954;PM10 (SM2005);µg/m³;661;Rezzato;147.0;BS;Rezzato;N;27/01/1997;;5041110;604367;45.515708294844586;10.336240422996532;(45.51570829484459, 10.336240422996532);70.0;2016-11-14;PM10 (SM2005);µg/m³;661.0;Rezzato;147.0;BS;Rezzato;N;27/01/1997;;5041110.0;604367.0;45.51570829484458;10.336240422996532;(45.51570829484459, 10.336240422996532)
